hidden_dim,n_layers,lr,batch_size,weight_decay,alpha,wl_mean_rmse,Q_mean_rmse,wl_std_rmse,Q_std_rmse
64,3,0.005,32,0.0001,3.0,0.028548852,26.53442,0.008879395,6.1509256
64,3,0.005,32,0.0001,4.0,0.03169853,24.437689,0.011268299,7.4483967
64,3,0.005,32,0.001,1.0,0.030113537,26.317953,0.006329492,4.4968967
64,3,0.005,32,0.001,2.0,0.030010447,23.755571,0.0077130194,2.9813092
64,3,0.005,32,0.001,3.0,0.03443187,23.406096,0.0067622,4.8697495
64,3,0.005,32,0.001,4.0,0.031182641,25.355919,0.011510089,5.877197
64,3,0.005,32,0.01,1.0,0.043321483,31.803661,0.00970668,7.503426
64,3,0.005,32,0.01,2.0,0.043368846,33.028336,0.0062628053,9.0994
64,3,0.005,32,0.01,3.0,0.047360282,32.48484,0.01016043,9.900894
64,3,0.005,32,0.01,4.0,0.04500498,33.558533,0.008722613,9.179836
64,3,0.005,64,0.0,1.0,0.037302453,30.08525,0.015028482,5.3904333
64,3,0.005,64,0.0,2.0,0.039791476,27.621561,0.023661295,7.923252
64,3,0.005,64,0.0,3.0,0.04229916,29.336231,0.011878887,7.0837293
64,3,0.005,64,0.0,4.0,0.038542457,31.386078,0.011417022,5.2405953
64,3,0.005,64,0.0001,1.0,0.03308531,30.267033,0.009119712,5.786651
64,3,0.005,64,0.0001,2.0,0.03786374,28.61495,0.010531561,4.767949
64,3,0.005,64,0.0001,3.0,0.03378031,32.87924,0.009118776,7.9630485
64,3,0.005,64,0.0001,4.0,0.038285933,29.642975,0.0080099,6.2281985
64,3,0.005,64,0.001,1.0,0.03157439,25.884075,0.006203517,3.2237573
64,3,0.005,64,0.001,2.0,0.03611027,27.531149,0.0064732363,3.3768797
64,3,0.005,64,0.001,3.0,0.03303628,28.429956,0.011766364,5.1784525
64,3,0.005,64,0.001,4.0,0.034432173,27.494183,0.009456634,2.213452
64,3,0.005,64,0.01,1.0,0.04082643,32.636543,0.011540454,7.4528847
64,3,0.005,64,0.01,2.0,0.044723716,33.23017,0.009625475,7.7796054
64,3,0.005,64,0.01,3.0,0.04518359,33.77366,0.007362513,8.348318
64,3,0.005,64,0.01,4.0,0.04613679,33.2287,0.008025651,8.640535
128,2,0.0001,32,0.0,1.0,0.10874245,62.913994,0.021844923,13.91491
128,2,0.0001,32,0.0,2.0,0.10854516,62.446938,0.021129278,14.773199
128,2,0.0001,32,0.0,3.0,0.11677344,66.069565,0.020008406,15.552089
128,2,0.0001,32,0.0,4.0,0.12351891,68.616394,0.018089477,15.550139
128,2,0.0001,32,0.0001,1.0,0.107760146,62.38799,0.020367682,13.623173
128,2,0.0001,32,0.0001,2.0,0.10754746,62.30445,0.021320725,14.610701
128,2,0.0001,32,0.0001,3.0,0.11636271,66.13014,0.019868013,15.54528
128,2,0.0001,32,0.0001,4.0,0.12309215,68.44416,0.01766059,15.320375
128,2,0.0001,32,0.001,1.0,0.10619352,62.290833,0.020638831,14.591065
128,2,0.0001,32,0.001,2.0,0.10535835,61.608326,0.021363365,14.930688
128,2,0.0001,32,0.001,3.0,0.1142173,65.272446,0.019708782,15.410292
128,2,0.0001,32,0.001,4.0,0.12057235,67.643,0.018273933,15.3704
128,2,0.0001,32,0.01,1.0,0.09907895,63.912964,0.02179963,15.985066
128,2,0.0001,32,0.01,2.0,0.101605736,63.62658,0.020877903,15.75028
128,2,0.0001,32,0.01,3.0,0.10769317,65.80117,0.019976271,15.9749775
128,2,0.0001,32,0.01,4.0,0.11600375,68.48206,0.01956058,16.178133
